CustomerNo,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_segment,RFM_score,Segment
12371.0,60,1,7411.53,5,1,4,514,10,Loyal Customers
12372.0,72,3,9302.48,5,1,4,514,10,Loyal Customers
12373.0,255,2,7980.55,2,1,4,214,7,Potential Loyalist
12374.0,26,1,4112.9,5,1,3,513,9,Loyal Customers
12375.0,3,3,1379.8600000000001,5,1,1,511,7,Potential Loyalist
12377.0,316,2,11241.34,1,1,4,114,6,Potential Loyalist
12378.0,130,1,29410.6,4,1,5,415,10,Loyal Customers
12379.0,82,3,4302.8099999999995,4,1,3,413,8,Potential Loyalist
12380.0,22,5,12144.76,5,1,4,514,10,Loyal Customers
12381.0,5,4,8837.72,5,1,4,514,10,Loyal Customers
12383.0,185,6,17185.56,3,1,5,315,9,Loyal Customers
12384.0,29,3,1504.44,5,1,2,512,8,Potential Loyalist
12386.0,338,2,4040.2999999999997,1,1,3,113,5,At Risk
12387.0,208,1,5326.62,3,1,3,313,7,Potential Loyalist
12388.0,16,6,16632.03,5,1,5,515,11,Loyal Customers
12390.0,80,1,4104.7,4,1,3,413,8,Potential Loyalist
12391.0,22,1,3441.78,5,1,3,513,9,Loyal Customers
12393.0,73,6,8314.75,5,1,4,514,10,Loyal Customers
12394.0,64,2,9390.52,5,1,4,514,10,Loyal Customers
12395.0,16,15,24115.1,5,1,5,515,11,Loyal Customers
12396.0,263,1,6765.1,2,1,4,214,7,Potential Loyalist
12397.0,36,3,15955.51,5,1,5,515,11,Loyal Customers
12398.0,46,1,15525.12,5,1,5,515,11,Loyal Customers
12399.0,120,4,12422.4,4,1,4,414,9,Loyal Customers
12401.0,304,1,124.47,1,1,1,111,3,At Risk
12402.0,324,1,837.5,1,1,1,111,3,At Risk
12403.0,50,1,1364.64,5,1,1,511,7,Potential Loyalist
12405.0,149,1,10126.52,4,1,4,414,9,Loyal Customers
12406.0,23,3,21047.5,5,1,5,515,11,Loyal Customers
12407.0,50,5,15924.92,5,1,5,515,11,Loyal Customers
12408.0,33,8,15966.18,5,1,5,515,11,Loyal Customers
12409.0,79,7,66632.12,4,1,5,415,10,Loyal Customers
12410.0,302,3,2635.25,1,1,2,112,4,At Risk
12411.0,262,1,55.24,2,1,1,211,4,At Risk
12412.0,75,3,9420.63,5,1,4,514,10,Loyal Customers
12413.0,67,4,3287.44,5,1,3,513,9,Loyal Customers
12414.0,67,4,18177.6,5,1,5,515,11,Loyal Customers
12415.0,25,24,895267.24,5,1,5,515,11,Loyal Customers
12417.0,4,12,17654.579999999998,5,1,5,515,11,Loyal Customers
12418.0,113,1,4856.91,4,1,3,413,8,Potential Loyalist
12420.0,64,1,4151.1,5,1,3,513,9,Loyal Customers
12421.0,16,4,5091.65,5,1,3,513,9,Loyal Customers
12422.0,96,4,14914.25,4,1,5,415,10,Loyal Customers
12423.0,1,10,14632.97,5,1,5,515,11,Loyal Customers
12424.0,163,2,9389.81,3,1,4,314,8,Potential Loyalist
12425.0,79,1,5638.98,4,1,3,413,8,Potential Loyalist
12426.0,195,1,3126.61,3,1,2,312,6,Potential Loyalist
12427.0,12,5,4176.45,5,1,3,513,9,Loyal Customers
12428.0,26,13,41496.16,5,1,5,515,11,Loyal Customers
12429.0,10,4,16106.1,5,1,5,515,11,Loyal Customers
12430.0,44,1,1410.68,5,1,1,511,7,Potential Loyalist
12431.0,36,18,34360.98,5,1,5,515,11,Loyal Customers
12432.0,36,5,22880.21,5,1,5,515,11,Loyal Customers
12433.0,1,7,115454.49,5,1,5,515,11,Loyal Customers
12434.0,85,4,4607.3099999999995,4,1,3,413,8,Potential Loyalist
12435.0,80,2,27757.97,4,1,5,415,10,Loyal Customers
12436.0,100,1,2581.38,4,1,2,412,7,Potential Loyalist
12437.0,2,19,33030.27,5,1,5,515,11,Loyal Customers
12438.0,15,2,10591.5,5,1,4,514,10,Loyal Customers
12441.0,367,1,1389.3,1,1,1,111,3,At Risk
12442.0,4,1,1297.84,5,1,1,511,7,Potential Loyalist
12444.0,22,6,15868.42,5,1,5,515,11,Loyal Customers
12445.0,23,1,694.3199999999999,5,1,1,511,7,Potential Loyalist
12446.0,58,1,4259.83,5,1,3,513,9,Loyal Customers
12447.0,244,1,2236.38,2,1,2,212,5,At Risk
12448.0,45,1,2834.36,5,1,2,512,8,Potential Loyalist
12449.0,23,4,18993.77,5,1,5,515,11,Loyal Customers
12450.0,157,2,1216.1399999999999,3,1,1,311,5,At Risk
12451.0,11,7,72699.09,5,1,5,515,11,Loyal Customers
12452.0,17,1,1115.05,5,1,1,511,7,Potential Loyalist
12453.0,135,1,5572.6,4,1,3,413,8,Potential Loyalist
12454.0,54,2,0.0,5,1,1,511,7,Potential Loyalist
12455.0,74,5,23158.08,5,1,5,515,11,Loyal Customers
12456.0,45,4,19026.99,5,1,5,515,11,Loyal Customers
12457.0,59,12,8065.32,5,1,4,514,10,Loyal Customers
12458.0,72,3,14297.16,5,1,4,514,10,Loyal Customers
12461.0,155,1,3532.59,3,1,3,313,7,Potential Loyalist
12462.0,3,4,6189.679999999999,5,1,3,513,9,Loyal Customers
12463.0,11,7,8723.05,5,1,4,514,10,Loyal Customers
12464.0,11,8,1657.98,5,1,2,512,8,Potential Loyalist
12465.0,8,3,5542.46,5,1,3,513,9,Loyal Customers
12468.0,144,4,15940.25,4,1,5,415,10,Loyal Customers
12469.0,292,1,615.22,2,1,1,211,4,At Risk
12471.0,3,45,87249.44,5,1,5,515,11,Loyal Customers
12472.0,31,13,46128.88,5,1,5,515,11,Loyal Customers
12473.0,54,4,25669.06,5,1,5,515,11,Loyal Customers
12474.0,18,32,54601.33,5,1,5,515,11,Loyal Customers
12475.0,54,1,6077.06,5,1,3,513,9,Loyal Customers
12476.0,2,20,25297.87,5,1,5,515,11,Loyal Customers
12477.0,23,9,50421.99,5,1,5,515,11,Loyal Customers
12478.0,4,1,1547.87,5,1,2,512,8,Potential Loyalist
12479.0,4,4,2496.09,5,1,2,512,8,Potential Loyalist
12480.0,29,4,20048.2,5,1,5,515,11,Loyal Customers
12481.0,23,12,38300.61,5,1,5,515,11,Loyal Customers
12483.0,18,11,12790.35,5,1,4,514,10,Loyal Customers
12484.0,36,6,25406.62,5,1,5,515,11,Loyal Customers
12485.0,356,1,30.7,1,1,1,111,3,At Risk
12488.0,10,3,5085.36,5,1,3,513,9,Loyal Customers
12489.0,337,1,1361.97,1,1,1,111,3,At Risk
12490.0,6,10,30866.64,5,1,5,515,11,Loyal Customers
12491.0,39,2,4623.28,5,1,3,513,9,Loyal Customers
12492.0,64,2,2042.1,5,1,2,512,8,Potential Loyalist
12493.0,166,3,1731.55,3,1,2,312,6,Potential Loyalist
12494.0,10,13,7093.19,5,1,4,514,10,Loyal Customers
12497.0,82,1,13594.44,4,1,4,414,9,Loyal Customers
12498.0,22,3,1658.67,5,1,2,512,8,Potential Loyalist
12500.0,24,12,31270.93,5,1,5,515,11,Loyal Customers
12501.0,316,2,19393.17,1,1,5,115,7,Potential Loyalist
12502.0,96,5,11027.11,4,1,4,414,9,Loyal Customers
12504.0,19,4,553.4399999999999,5,1,1,511,7,Potential Loyalist
12505.0,254,1,1833.6399999999999,2,1,2,212,5,At Risk
12506.0,233,1,311.08,2,1,1,211,4,At Risk
12507.0,135,4,10103.99,4,1,4,414,9,Loyal Customers
12508.0,11,3,13111.33,5,1,4,514,10,Loyal Customers
12509.0,285,1,715.8399999999999,2,1,1,211,4,At Risk
12510.0,143,2,4391.04,4,1,3,413,8,Potential Loyalist
12512.0,67,2,1119.46,5,1,1,511,7,Potential Loyalist
12513.0,85,2,4828.54,4,1,3,413,8,Potential Loyalist
12514.0,268,1,5134.98,2,1,3,213,6,Potential Loyalist
12515.0,155,2,1982.8799999999999,3,1,2,312,6,Potential Loyalist
12516.0,78,3,15771.619999999999,4,1,5,415,10,Loyal Customers
12517.0,29,6,15373.22,5,1,5,515,11,Loyal Customers
12518.0,1,5,14202.72,5,1,4,514,10,Loyal Customers
12519.0,64,1,2046.58,5,1,2,512,8,Potential Loyalist
12520.0,80,7,16870.32,4,1,5,415,10,Loyal Customers
12521.0,143,1,3386.0699999999997,4,1,3,413,8,Potential Loyalist
12522.0,40,3,2198.59,5,1,2,512,8,Potential Loyalist
12523.0,2,13,10501.86,5,1,4,514,10,Loyal Customers
12524.0,10,9,57952.31,5,1,5,515,11,Loyal Customers
12526.0,1,3,6572.17,5,1,3,513,9,Loyal Customers
12527.0,82,3,2598.56,4,1,2,412,7,Potential Loyalist
12528.0,10,8,8322.369999999999,5,1,4,514,10,Loyal Customers
12530.0,60,5,8902.58,5,1,4,514,10,Loyal Customers
12531.0,15,1,278.55,5,1,1,511,7,Potential Loyalist
12532.0,31,2,3755.8,5,1,3,513,9,Loyal Customers
12534.0,131,1,7616.2,4,1,4,414,9,Loyal Customers
12535.0,92,2,2978.58,4,1,2,412,7,Potential Loyalist
12536.0,8,3,32172.03,5,1,5,515,11,Loyal Customers
12537.0,10,1,30.950000000000003,5,1,1,511,7,Potential Loyalist
12538.0,30,1,2330.8199999999997,5,1,2,512,8,Potential Loyalist
12539.0,23,5,29397.31,5,1,5,515,11,Loyal Customers
12540.0,20,19,79345.84,5,1,5,515,11,Loyal Customers
12541.0,30,4,12556.41,5,1,4,514,10,Loyal Customers
12542.0,235,1,6368.8,2,1,3,213,6,Potential Loyalist
12544.0,30,3,2801.35,5,1,2,512,8,Potential Loyalist
12545.0,76,2,6152.54,4,1,3,413,8,Potential Loyalist
12546.0,10,4,8709.35,5,1,4,514,10,Loyal Customers
12547.0,115,4,14445.15,4,1,5,415,10,Loyal Customers
12548.0,167,1,561.0,3,1,1,311,5,At Risk
12550.0,47,2,14478.539999999999,5,1,5,515,11,Loyal Customers
12551.0,262,2,1759.01,2,1,2,212,5,At Risk
12552.0,40,1,1196.93,5,1,1,511,7,Potential Loyalist
12553.0,9,16,32947.4,5,1,5,515,11,Loyal Customers
12556.0,36,3,4448.71,5,1,3,513,9,Loyal Customers
12557.0,10,6,46880.83,5,1,5,515,11,Loyal Customers
12558.0,2,2,0.0,5,1,1,511,7,Potential Loyalist
12559.0,311,3,3372.06,1,1,3,113,5,At Risk
12560.0,6,3,10974.39,5,1,4,514,10,Loyal Customers
12561.0,36,2,14040.59,5,1,4,514,10,Loyal Customers
12562.0,9,7,15925.47,5,1,5,515,11,Loyal Customers
12564.0,262,1,1625.93,2,1,2,212,5,At Risk
12565.0,282,2,903.15,2,1,1,211,4,At Risk
12566.0,73,2,2975.06,5,1,2,512,8,Potential Loyalist
12567.0,23,11,47248.22,5,1,5,515,11,Loyal Customers
12569.0,3,33,19053.27,5,1,5,515,11,Loyal Customers
12571.0,40,2,5761.719999999999,5,1,3,513,9,Loyal Customers
12572.0,9,3,4352.97,5,1,3,513,9,Loyal Customers
12573.0,228,1,1025.38,2,1,1,211,4,At Risk
12574.0,316,1,791.58,1,1,1,111,3,At Risk
12576.0,36,6,11219.71,5,1,4,514,10,Loyal Customers
12577.0,36,4,5291.58,5,1,3,513,9,Loyal Customers
12578.0,22,4,13975.21,5,1,4,514,10,Loyal Customers
12579.0,74,2,3212.8199999999997,5,1,2,512,8,Potential Loyalist
12580.0,247,1,2566.92,2,1,2,212,5,At Risk
12581.0,40,1,1824.03,5,1,2,512,8,Potential Loyalist
12582.0,239,2,3393.8,2,1,3,213,6,Potential Loyalist
12583.0,3,17,55658.43,5,1,5,515,11,Loyal Customers
12584.0,4,18,4695.69,5,1,3,513,9,Loyal Customers
12585.0,235,4,14581.91,2,1,5,215,8,Potential Loyalist
12586.0,18,2,973.51,5,1,1,511,7,Potential Loyalist
12587.0,8,1,309.5,5,1,1,511,7,Potential Loyalist
12588.0,40,1,712.1899999999999,5,1,1,511,7,Potential Loyalist
12589.0,29,2,3684.56,5,1,3,513,9,Loyal Customers
12590.0,191,2,49847.44,3,1,5,315,9,Loyal Customers
12591.0,318,1,2661.17,1,1,2,112,4,At Risk
12592.0,93,2,2587.2999999999997,4,1,2,412,7,Potential Loyalist
12593.0,109,3,1885.56,4,1,2,412,7,Potential Loyalist
12594.0,38,9,19508.32,5,1,5,515,11,Loyal Customers
12596.0,52,2,5258.67,5,1,3,513,9,Loyal Customers
12597.0,20,5,24966.33,5,1,5,515,11,Loyal Customers
12598.0,10,8,21783.78,5,1,5,515,11,Loyal Customers
12599.0,30,7,10627.58,5,1,4,514,10,Loyal Customers
12600.0,29,10,8730.210000000001,5,1,4,514,10,Loyal Customers
12601.0,190,6,2941.15,3,1,2,312,6,Potential Loyalist
12602.0,59,1,1817.46,5,1,2,512,8,Potential Loyalist
12603.0,22,1,1202.32,5,1,1,511,7,Potential Loyalist
12604.0,80,2,2291.92,4,1,2,412,7,Potential Loyalist
12605.0,366,1,-48.68,1,1,1,111,3,At Risk
12607.0,59,2,-1.1368683772161603e-13,5,1,1,511,7,Potential Loyalist
12609.0,79,3,7359.41,4,1,4,414,9,Loyal Customers
12610.0,5,8,18595.13,5,1,5,515,11,Loyal Customers
12611.0,53,1,9832.66,5,1,4,514,10,Loyal Customers
12612.0,58,2,3174.12,5,1,2,512,8,Potential Loyalist
12613.0,32,5,18516.25,5,1,5,515,11,Loyal Customers
12614.0,278,1,1102.4099999999999,2,1,1,211,4,At Risk
12615.0,3,4,14117.8,5,1,4,514,10,Loyal Customers
12616.0,86,5,3357.0099999999998,4,1,3,413,8,Potential Loyalist
12617.0,30,2,8521.32,5,1,4,514,10,Loyal Customers
12618.0,22,1,1114.39,5,1,1,511,7,Potential Loyalist
12619.0,17,11,34940.6,5,1,5,515,11,Loyal Customers
12620.0,15,3,10989.5,5,1,4,514,10,Loyal Customers
12621.0,2,24,78287.01,5,1,5,515,11,Loyal Customers
12622.0,233,1,801.12,2,1,1,211,4,At Risk
12623.0,277,1,2029.3,2,1,2,212,5,At Risk
12624.0,107,4,5678.58,4,1,3,413,8,Potential Loyalist
12625.0,212,3,17956.14,3,1,5,315,9,Loyal Customers
12626.0,24,13,37566.74,5,1,5,515,11,Loyal Customers
12627.0,11,7,27855.8,5,1,5,515,11,Loyal Customers
12628.0,5,4,4338.37,5,1,3,513,9,Loyal Customers
12630.0,10,2,5082.9,5,1,3,513,9,Loyal Customers
12631.0,58,1,2870.14,5,1,2,512,8,Potential Loyalist
12633.0,59,5,13042.23,5,1,4,514,10,Loyal Customers
12635.0,87,3,16535.149999999998,4,1,5,415,10,Loyal Customers
12637.0,68,9,33984.05,5,1,5,515,11,Loyal Customers
12638.0,34,1,6397.62,5,1,3,513,9,Loyal Customers
12639.0,239,1,2225.42,2,1,2,212,5,At Risk
12640.0,24,4,37688.39,5,1,5,515,11,Loyal Customers
12641.0,116,1,877.1,4,1,1,411,6,Potential Loyalist
12642.0,26,3,6485.5199999999995,5,1,3,513,9,Loyal Customers
12643.0,129,6,21446.16,4,1,5,415,10,Loyal Customers
12644.0,130,1,3820.88,4,1,3,413,8,Potential Loyalist
12645.0,34,5,11911.96,5,1,4,514,10,Loyal Customers
12646.0,5,4,15251.15,5,1,5,515,11,Loyal Customers
12647.0,23,13,16867.19,5,1,5,515,11,Loyal Customers
12648.0,155,1,1937.06,3,1,2,312,6,Potential Loyalist
12649.0,30,6,7653.150000000001,5,1,4,514,10,Loyal Customers
12650.0,4,1,1590.7,5,1,2,512,8,Potential Loyalist
12651.0,335,1,867.3,1,1,1,111,3,At Risk
12652.0,199,3,6218.46,3,1,3,313,7,Potential Loyalist
12653.0,149,3,11735.49,4,1,4,414,9,Loyal Customers
12654.0,11,5,2934.11,5,1,2,512,8,Potential Loyalist
12656.0,18,8,17152.26,5,1,5,515,11,Loyal Customers
12657.0,12,5,5623.08,5,1,3,513,9,Loyal Customers
12658.0,19,1,3709.7,5,1,3,513,9,Loyal Customers
12659.0,30,1,1141.6000000000001,5,1,1,511,7,Potential Loyalist
12660.0,12,1,779.94,5,1,1,511,7,Potential Loyalist
12662.0,1,12,22388.18,5,1,5,515,11,Loyal Customers
12663.0,214,2,2710.49,3,1,2,312,6,Potential Loyalist
12664.0,9,9,14394.66,5,1,5,515,11,Loyal Customers
12665.0,325,2,403.54999999999995,1,1,1,111,3,At Risk
12666.0,214,2,160.96999999999997,3,1,1,311,5,At Risk
12667.0,59,1,4478.9,5,1,3,513,9,Loyal Customers
12668.0,8,6,17271.9,5,1,5,515,11,Loyal Customers
12669.0,151,2,12538.32,3,1,4,314,8,Potential Loyalist
12670.0,11,7,22194.86,5,1,5,515,11,Loyal Customers
12671.0,80,2,8969.15,4,1,4,414,9,Loyal Customers
12672.0,330,1,931.1999999999999,1,1,1,111,3,At Risk
12673.0,6,3,7908.16,5,1,4,514,10,Loyal Customers
12674.0,12,7,13081.6,5,1,4,514,10,Loyal Customers
12675.0,214,1,1326.97,3,1,1,311,5,At Risk
12676.0,25,6,7924.15,5,1,4,514,10,Loyal Customers
12678.0,43,11,120409.06,5,1,5,515,11,Loyal Customers
12679.0,53,9,6259.64,5,1,3,513,9,Loyal Customers
12680.0,1,4,4628.29,5,1,3,513,9,Loyal Customers
12681.0,15,26,86240.52,5,1,5,515,11,Loyal Customers
12682.0,4,31,58072.69,5,1,5,515,11,Loyal Customers
12683.0,5,19,54417.479999999996,5,1,5,515,11,Loyal Customers
12684.0,8,6,21663.16,5,1,5,515,11,Loyal Customers
12685.0,29,6,16981.07,5,1,5,515,11,Loyal Customers
12686.0,372,1,1159.4,1,1,1,111,3,At Risk
12688.0,114,1,35476.51,4,1,5,415,10,Loyal Customers
12689.0,26,2,6936.96,5,1,4,514,10,Loyal Customers
12690.0,60,2,8008.59,5,1,4,514,10,Loyal Customers
12691.0,29,5,4927.3,5,1,3,513,9,Loyal Customers
12692.0,152,2,295.09000000000003,3,1,1,311,5,At Risk
12693.0,121,6,3003.19,4,1,2,412,7,Potential Loyalist
12694.0,71,2,5936.29,5,1,3,513,9,Loyal Customers
12695.0,8,5,18421.26,5,1,5,515,11,Loyal Customers
12697.0,22,5,5731.49,5,1,3,513,9,Loyal Customers
12700.0,8,4,30043.5,5,1,5,515,11,Loyal Customers
12701.0,80,2,7591.7,4,1,4,414,9,Loyal Customers
12702.0,20,2,6977.15,5,1,4,514,10,Loyal Customers
12703.0,65,2,1902.8899999999999,5,1,2,512,8,Potential Loyalist
12704.0,8,8,10975.87,5,1,4,514,10,Loyal Customers
12705.0,16,13,44614.1,5,1,5,515,11,Loyal Customers
12707.0,292,1,3242.17,2,1,3,213,6,Potential Loyalist
12708.0,30,16,15267.49,5,1,5,515,11,Loyal Customers
12709.0,4,27,45853.33,5,1,5,515,11,Loyal Customers
12710.0,97,4,9421.05,4,1,4,414,9,Loyal Customers
12712.0,23,17,13251.62,5,1,4,514,10,Loyal Customers
12713.0,1,1,3270.25,5,1,3,513,9,Loyal Customers
12714.0,10,6,33836.55,5,1,5,515,11,Loyal Customers
12715.0,5,2,1938.45,5,1,2,512,8,Potential Loyalist
12716.0,4,4,15550.619999999999,5,1,5,515,11,Loyal Customers
12717.0,114,3,6094.87,4,1,3,413,8,Potential Loyalist
12718.0,72,2,7892.37,5,1,4,514,10,Loyal Customers
12719.0,6,3,3022.48,5,1,2,512,8,Potential Loyalist
12720.0,3,29,48031.08,5,1,5,515,11,Loyal Customers
12721.0,32,7,21618.31,5,1,5,515,11,Loyal Customers
12722.0,86,6,6637.7,4,1,3,413,8,Potential Loyalist
12723.0,4,5,3772.94,5,1,3,513,9,Loyal Customers
12724.0,6,4,4346.389999999999,5,1,3,513,9,Loyal Customers
12725.0,372,1,2041.74,1,1,2,112,4,At Risk
12726.0,29,7,34574.159999999996,5,1,5,515,11,Loyal Customers
12727.0,11,8,22632.22,5,1,5,515,11,Loyal Customers
12728.0,72,4,4979.25,5,1,3,513,9,Loyal Customers
12729.0,114,1,2794.86,4,1,2,412,7,Potential Loyalist
12731.0,24,14,101759.08,5,1,5,515,11,Loyal Customers
12732.0,180,2,3048.2,3,1,2,312,6,Potential Loyalist
12733.0,235,2,2176.9900000000002,2,1,2,212,5,At Risk
12734.0,353,1,801.6,1,1,1,111,3,At Risk
12735.0,316,2,4367.49,1,1,3,113,5,At Risk
12736.0,333,1,1869.6,1,1,2,112,4,At Risk
12738.0,373,1,1647.17,1,1,2,112,4,At Risk
12739.0,100,1,5971.02,4,1,3,413,8,Potential Loyalist
12740.0,64,1,3943.22,5,1,3,513,9,Loyal Customers
12742.0,34,1,46.129999999999995,5,1,1,511,7,Potential Loyalist
12743.0,135,2,3751.57,4,1,3,413,8,Potential Loyalist
12744.0,57,4,63480.95,5,1,5,515,11,Loyal Customers
12747.0,3,11,15438.2,5,1,5,515,11,Loyal Customers
12748.0,1,218,249639.54,5,5,5,555,15,Champions
12749.0,4,8,16795.42,5,1,5,515,11,Loyal Customers
12750.0,129,1,1686.92,4,1,2,412,7,Potential Loyalist
12752.0,82,1,26757.76,4,1,5,415,10,Loyal Customers
12753.0,4,11,134485.4,5,1,5,515,11,Loyal Customers
12754.0,236,3,69523.14,2,1,5,215,8,Potential Loyalist
12755.0,250,3,11159.78,2,1,4,214,7,Potential Loyalist
12756.0,87,1,1590.72,4,1,2,412,7,Potential Loyalist
12757.0,16,12,32384.36,5,1,5,515,11,Loyal Customers
12758.0,117,2,20139.94,4,1,5,415,10,Loyal Customers
12759.0,53,3,10370.7,5,1,4,514,10,Loyal Customers
12760.0,102,1,4648.16,4,1,3,413,8,Potential Loyalist
12761.0,59,1,210.39,5,1,1,511,7,Potential Loyalist
12762.0,8,3,9736.92,5,1,4,514,10,Loyal Customers
12763.0,139,3,4198.93,4,1,3,413,8,Potential Loyalist
12764.0,317,1,5692.32,1,1,3,113,5,At Risk
12766.0,4,7,40429.88,5,1,5,515,11,Loyal Customers
12769.0,239,1,4652.2699999999995,2,1,3,213,6,Potential Loyalist
12770.0,211,1,8404.06,3,1,4,314,8,Potential Loyalist
12772.0,60,1,6358.97,5,1,3,513,9,Loyal Customers
12775.0,18,6,9947.67,5,1,4,514,10,Loyal Customers
12777.0,19,2,12933.12,5,1,4,514,10,Loyal Customers
12778.0,20,6,9084.33,5,1,4,514,10,Loyal Customers
12779.0,10,16,33870.45,5,1,5,515,11,Loyal Customers
